,carat,cut,color,clarity,depth,table,price,x,y,z
30428,0.31,Ideal,D,SI1,63.0,54.0,732,4.35,4.32,2.73
30429,0.31,Ideal,D,SI1,61.8,57.0,732,4.36,4.32,2.68
30430,0.31,Premium,D,SI1,62.1,58.0,732,4.33,4.3,2.68
30431,0.31,Ideal,D,SI1,62.6,57.0,732,4.32,4.3,2.7
30432,0.31,Very Good,D,SI1,63.5,56.0,732,4.31,4.29,2.73
30433,0.31,Ideal,D,SI1,62.9,57.0,732,4.32,4.27,2.7
30434,0.31,Good,D,SI1,63.9,54.0,732,4.3,4.27,2.74
30435,0.31,Very Good,D,SI1,63.5,55.0,732,4.3,4.27,2.72
30436,0.31,Ideal,D,SI1,61.8,56.0,732,4.37,4.34,2.69
30437,0.3,Premium,D,VS1,61.2,59.0,732,4.34,4.29,2.64
30438,0.35,Very Good,H,VVS1,61.1,56.0,733,4.54,4.57,2.78
30439,0.26,Ideal,E,VVS2,61.3,57.0,733,4.12,4.15,2.53
30440,0.32,Ideal,G,VVS1,61.3,55.0,733,4.46,4.38,2.71
30441,0.26,Ideal,F,VVS1,60.3,56.0,733,4.15,4.17,2.51
30442,0.31,Ideal,E,VS1,60.7,57.0,733,4.37,4.4,2.66
30443,0.26,Ideal,F,IF,62.0,56.0,733,4.07,4.1,2.53
30444,0.44,Good,H,SI1,63.5,57.0,733,4.82,4.85,3.07
30445,0.44,Ideal,H,SI1,61.9,57.0,733,4.9,4.92,3.04
30446,0.38,Very Good,D,SI1,58.9,61.0,733,4.75,4.79,2.81
30447,0.38,Very Good,D,SI1,59.7,60.0,733,4.66,4.69,2.79
30448,0.38,Premium,D,SI1,60.7,60.0,733,4.63,4.69,2.83
30449,0.38,Premium,D,SI1,62.2,58.0,733,4.57,4.63,2.86
30450,0.3,Ideal,G,VVS1,60.6,57.0,734,4.36,4.38,2.65
30451,0.39,Ideal,E,VS2,61.4,55.0,734,4.76,4.81,2.94
30452,0.4,Good,J,VS1,64.0,56.0,734,4.69,4.66,2.99
30453,0.39,Very Good,G,VS2,59.8,61.0,734,4.72,4.75,2.83
30454,0.39,Good,G,VS2,63.7,53.0,734,4.62,4.67,2.96
30455,0.39,Very Good,G,VS2,60.4,61.0,734,4.71,4.73,2.85
30456,0.31,Ideal,D,VS2,61.5,56.0,734,4.37,4.41,2.7
30457,0.31,Very Good,D,VS2,62.9,55.0,734,4.31,4.34,2.72
30458,0.31,Ideal,D,VS2,61.9,56.0,734,4.34,4.38,2.7
30459,0.31,Premium,E,VS1,60.2,58.0,734,4.38,4.43,2.65
30460,0.31,Premium,D,VS2,62.6,59.0,734,4.3,4.33,2.7
30461,0.31,Premium,E,VS1,61.9,58.0,734,4.31,4.32,2.67
30462,0.31,Ideal,D,VS2,62.5,56.0,734,4.29,4.32,2.69
30463,0.31,Ideal,E,VS1,61.6,56.0,734,4.35,4.38,2.69
30464,0.31,Ideal,D,VS2,62.7,57.0,734,4.3,4.34,2.71
30465,0.31,Ideal,D,VS2,62.0,55.0,734,4.33,4.35,2.69
30466,0.31,Premium,E,VS1,61.0,58.0,734,4.37,4.39,2.67
30467,0.31,Ideal,D,VS2,61.5,56.0,734,4.35,4.36,2.68
30468,0.31,Ideal,D,VS2,62.6,56.0,734,4.33,4.36,2.72
30469,0.31,Ideal,D,VS2,62.5,56.0,734,4.31,4.36,2.71
30470,0.31,Premium,E,VS1,60.0,59.0,734,4.38,4.42,2.64
30471,0.31,Very Good,D,VS2,62.3,55.0,734,4.32,4.35,2.7
30472,0.31,Ideal,D,VS2,61.3,57.0,734,4.37,4.4,2.69
30473,0.31,Ideal,D,VS2,62.3,55.0,734,4.33,4.37,2.71
30474,0.31,Premium,E,VS1,61.7,58.0,734,4.3,4.36,2.67
30475,0.31,Ideal,D,VS2,61.2,55.0,734,4.36,4.46,2.7
30476,0.31,Ideal,D,VS2,60.4,56.0,734,4.39,4.42,2.66
30477,0.31,Premium,D,VS2,61.2,59.0,734,4.32,4.37,2.66
30478,0.31,Ideal,D,VS2,62.5,56.0,734,4.34,4.36,2.72
30479,0.31,Ideal,D,VS2,61.7,55.0,734,4.35,4.4,2.7
30480,0.31,Ideal,E,VS1,61.8,56.0,734,4.34,4.37,2.69
30481,0.31,Ideal,D,VS2,62.2,54.0,734,4.31,4.34,2.69
30482,0.31,Ideal,E,VS1,61.6,57.0,734,4.32,4.35,2.67
30483,0.31,Premium,E,VS1,61.1,58.0,734,4.34,4.37,2.66
30484,0.31,Ideal,D,VS2,61.2,55.0,734,4.37,4.39,2.68
30485,0.31,Ideal,D,VS2,62.1,54.0,734,4.34,4.36,2.7
30486,0.31,Ideal,D,VS2,61.8,55.0,734,4.33,4.37,2.69
30487,0.31,Ideal,D,VS2,61.8,56.0,734,4.32,4.36,2.68
30488,0.31,Ideal,D,VS2,61.6,57.0,734,4.36,4.38,2.69
30489,0.31,Ideal,D,VS2,62.2,56.0,734,4.32,4.33,2.69
30490,0.31,Ideal,D,VS2,61.2,55.0,734,4.35,4.38,2.67
30491,0.31,Ideal,E,VS1,60.9,57.0,734,4.39,4.41,2.68
30492,0.31,Ideal,D,VS2,62.1,54.0,734,4.33,4.37,2.7
30493,0.31,Very Good,D,VS2,61.8,57.0,734,4.36,4.41,2.71
30494,0.31,Ideal,D,VS2,61.8,57.0,734,4.36,4.38,2.7
30495,0.31,Ideal,E,VS1,61.9,56.0,734,4.32,4.34,2.68
30496,0.31,Ideal,D,VS2,62.1,55.0,734,4.31,4.32,2.68
30497,0.31,Ideal,D,VS2,61.9,56.0,734,4.37,4.38,2.71
30498,0.31,Ideal,D,VS2,59.0,57.0,734,4.44,4.48,2.63
30499,0.31,Premium,D,VS2,62.0,59.0,734,4.32,4.36,2.69
30500,0.31,Ideal,D,VS2,62.1,54.0,734,4.35,4.41,2.72
30501,0.31,Ideal,D,VS2,62.2,57.0,734,4.31,4.34,2.69
30502,0.31,Ideal,D,VS2,61.5,56.0,734,4.34,4.37,2.68
30503,0.31,Ideal,D,VS2,61.6,55.0,734,4.36,4.37,2.69
30504,0.31,Premium,E,VS1,60.5,59.0,734,4.36,4.37,2.64
30505,0.31,Ideal,D,VS2,61.2,55.0,734,4.37,4.42,2.69
30506,0.31,Ideal,D,VS2,61.5,56.0,734,4.35,4.37,2.68
30507,0.31,Ideal,E,VS1,60.4,57.0,734,4.37,4.4,2.65
30508,0.31,Ideal,E,VS1,61.8,56.0,734,4.33,4.34,2.68
30509,0.31,Ideal,D,VS2,62.1,56.0,734,4.34,4.35,2.7
30510,0.31,Ideal,E,VS1,61.7,56.0,734,4.37,4.41,2.71
30511,0.31,Ideal,D,VS2,62.1,55.0,734,4.32,4.35,2.69
30512,0.31,Ideal,D,VS2,62.0,55.0,734,4.36,4.38,2.71
30513,0.31,Ideal,D,VS2,62.5,57.0,734,4.31,4.36,2.71
30514,0.31,Premium,D,VS2,60.7,59.0,734,4.35,4.38,2.65
30515,0.31,Ideal,D,VS2,60.7,56.0,734,4.35,4.38,2.65
30516,0.31,Ideal,E,VS1,61.4,57.0,734,4.32,4.37,2.67
30517,0.31,Premium,D,VS2,61.7,59.0,734,4.31,4.34,2.67
30518,0.3,Very Good,D,SI2,62.9,58.0,447,4.26,4.29,2.69
30519,0.3,Very Good,G,SI1,61.6,59.0,447,4.26,4.28,2.63
30520,0.3,Premium,D,SI2,62.3,58.0,447,4.29,4.32,2.68
30521,0.3,Ideal,D,SI2,60.2,56.0,447,4.37,4.4,2.64
30522,0.3,Very Good,D,SI2,62.2,59.0,447,4.25,4.3,2.66
30523,0.34,Very Good,I,SI1,61.8,57.0,447,4.46,4.51,2.77
30524,0.34,Good,F,SI2,63.5,56.0,447,4.44,4.48,2.83
30525,0.3,Ideal,D,SI2,62.1,57.0,447,4.3,4.33,2.68
30526,0.34,Very Good,G,SI2,62.8,59.0,447,4.45,4.47,2.8
30527,0.3,Very Good,G,SI1,62.8,56.0,447,4.28,4.32,2.7
30528,0.3,Very Good,G,SI1,62.7,58.0,447,4.22,4.27,2.66
30529,0.3,Good,D,SI2,63.4,56.0,447,4.26,4.29,2.71
30530,0.3,Good,D,SI2,63.2,57.0,447,4.21,4.24,2.67
30531,0.3,Very Good,D,SI2,61.8,58.0,447,4.29,4.32,2.66
30532,0.34,Very Good,F,SI2,61.7,61.0,447,4.44,4.48,2.75
30533,0.3,Very Good,G,SI1,58.8,60.0,447,4.35,4.39,2.57
30534,0.3,Very Good,G,SI1,59.5,63.0,447,4.29,4.32,2.56
30535,0.3,Very Good,G,SI1,59.7,60.0,447,4.35,4.39,2.61
30536,0.34,Premium,I,SI1,62.7,58.0,447,4.4,4.43,2.77
30537,0.34,Very Good,G,SI2,62.8,58.0,447,4.43,4.46,2.79
30538,0.34,Good,I,SI1,63.7,54.0,447,4.43,4.48,2.84
30539,0.3,Very Good,G,SI1,61.4,57.0,447,4.31,4.35,2.66
30540,0.3,Very Good,G,SI1,62.9,59.0,447,4.24,4.28,2.68
30541,0.3,Premium,D,SI2,60.2,60.0,447,4.32,4.35,2.61
30542,0.28,Ideal,I,VS1,61.8,55.0,448,4.2,4.25,2.61
30543,0.28,Ideal,I,VS1,62.5,54.0,448,4.18,4.23,2.63
30544,0.28,Ideal,I,VS1,62.4,54.0,448,4.18,4.19,2.61
30545,0.26,Ideal,H,VS1,62.6,56.0,448,4.07,4.09,2.55
30546,0.26,Ideal,H,VS1,61.9,55.0,448,4.1,4.13,2.55
30547,0.26,Ideal,H,VS1,62.1,56.0,448,4.13,4.15,2.56
30548,0.31,Ideal,D,VS2,62.2,56.0,734,4.32,4.36,2.7
30549,0.31,Ideal,D,VS2,62.2,55.0,734,4.31,4.34,2.69
30550,0.31,Ideal,D,VS2,62.7,55.0,734,4.31,4.34,2.71
30551,0.41,Very Good,G,SI1,60.4,58.0,735,4.77,4.84,2.9
30552,0.34,Ideal,G,VVS2,62.0,56.0,735,4.46,4.48,2.77
30553,0.3,Ideal,G,VVS1,60.9,56.8,735,4.34,4.38,2.65
30554,0.3,Ideal,G,VVS1,62.0,54.9,735,4.3,4.33,2.68
30555,0.3,Ideal,E,VS1,60.6,56.0,735,4.35,4.36,2.64
30556,0.41,Ideal,D,SI1,62.3,56.0,735,4.74,4.79,2.97
30557,0.36,Ideal,I,IF,61.8,55.0,735,4.58,4.61,2.84
30558,0.36,Ideal,I,IF,62.0,55.0,735,4.59,4.61,2.85
30559,0.36,Ideal,I,IF,61.9,54.0,735,4.57,4.6,2.84
30560,0.41,Fair,I,VS1,65.3,58.0,735,4.62,4.66,3.03
30561,0.42,Good,D,SI1,63.3,58.0,735,4.73,4.75,3.0
30562,0.42,Very Good,D,SI1,63.0,59.0,735,4.77,4.79,3.01
30563,0.3,Ideal,F,VVS2,61.1,57.0,736,4.3,4.34,2.64
30564,0.3,Ideal,D,VS2,61.8,55.0,736,4.27,4.3,2.65
30565,0.4,Ideal,I,VS1,61.5,59.0,736,4.72,4.75,2.91
30566,0.4,Ideal,I,VS1,61.2,56.0,736,4.76,4.82,2.93
30567,0.4,Ideal,I,VS1,61.9,57.0,736,4.73,4.74,2.93
30568,0.3,Ideal,E,VS1,61.3,57.0,736,4.3,4.34,2.65
30569,0.32,Ideal,D,VS1,61.8,56.0,736,4.39,4.41,2.72
30570,0.4,Ideal,G,SI1,62.7,57.0,736,4.65,4.69,2.93
30571,0.33,Ideal,D,SI1,61.9,55.0,736,4.45,4.47,2.76
30572,0.33,Ideal,D,SI1,60.9,56.0,736,4.46,4.5,2.73
30573,0.31,Very Good,D,VS1,62.3,56.0,736,4.33,4.37,2.71
30574,0.29,Very Good,D,SI1,59.8,55.0,737,4.3,4.35,2.58
30575,0.38,Ideal,I,VVS2,61.7,56.0,737,4.67,4.7,2.89
30576,0.37,Ideal,E,VS2,61.0,56.0,737,4.62,4.66,2.83
30577,0.42,Very Good,G,SI1,62.9,54.0,737,4.79,4.81,3.02
30578,0.3,Premium,F,VVS2,61.6,58.0,737,4.28,4.35,2.66
30579,0.4,Ideal,E,SI1,61.8,56.0,737,4.71,4.74,2.92
30580,0.4,Premium,F,SI1,62.5,59.0,737,4.67,4.71,2.93
30581,0.3,Premium,F,VVS2,61.1,59.0,737,4.29,4.32,2.63
30582,0.4,Very Good,E,SI1,62.0,55.0,737,4.68,4.74,2.92
30583,0.3,Premium,F,VVS2,61.0,59.0,737,4.3,4.33,2.63
30584,0.4,Very Good,I,VS1,63.0,56.0,737,4.68,4.72,2.96
30585,0.39,Good,I,VS1,63.1,58.0,737,4.68,4.61,2.93
30586,0.4,Very Good,F,SI1,62.8,59.0,737,4.71,4.72,2.96
30587,0.4,Very Good,F,SI1,62.0,56.0,737,4.72,4.77,2.94
30588,0.3,Very Good,G,VVS1,59.8,62.0,737,4.33,4.36,2.6
30589,0.4,Very Good,F,SI1,62.9,57.0,737,4.68,4.7,2.95
30590,0.4,Premium,E,SI1,62.6,59.0,737,4.68,4.71,2.94
30591,0.4,Very Good,F,SI1,62.7,57.0,737,4.68,4.7,2.94
30592,0.4,Premium,E,SI1,61.3,59.0,737,4.69,4.74,2.89
30593,0.4,Premium,F,SI1,61.2,58.0,737,4.71,4.74,2.89
30594,0.4,Very Good,E,SI1,60.9,56.0,737,4.76,4.8,2.91
30595,0.4,Premium,E,SI1,60.1,59.0,737,4.76,4.82,2.88
30596,0.35,Ideal,I,IF,62.5,55.0,737,4.52,4.54,2.83
30597,0.4,Ideal,E,SI1,62.2,55.0,737,4.71,4.75,2.94
30598,0.4,Ideal,E,SI1,61.2,57.0,737,4.7,4.74,2.89
30599,0.3,Very Good,G,VVS1,62.6,62.0,737,4.21,4.26,2.65
30600,0.4,Very Good,F,SI1,62.2,57.0,737,4.67,4.72,2.92
30601,0.4,Premium,E,SI1,62.2,58.0,737,4.71,4.74,2.94
30602,0.4,Ideal,E,SI1,62.0,57.0,737,4.74,4.78,2.95
30603,0.42,Good,G,SI1,63.2,57.0,737,4.77,4.79,3.02
30604,0.4,Good,F,SI1,63.6,57.0,737,4.67,4.7,2.98
30605,0.4,Very Good,E,SI1,62.8,59.0,737,4.64,4.69,2.93
30606,0.3,Premium,F,VVS2,61.5,58.0,737,4.29,4.31,2.64
30607,0.4,Ideal,E,SI1,60.5,57.0,737,4.77,4.81,2.9
30608,0.4,Premium,F,SI1,62.3,60.0,737,4.7,4.74,2.94
30609,0.4,Very Good,I,VS1,62.9,59.0,737,4.68,4.73,2.96
30610,0.3,Premium,F,VVS2,61.4,59.0,737,4.31,4.36,2.66
30611,0.4,Very Good,F,SI1,62.3,57.0,737,4.67,4.74,2.93
30612,0.4,Ideal,E,SI1,62.7,57.0,737,4.69,4.72,2.95
30613,0.42,Premium,G,SI1,61.7,58.0,737,4.76,4.8,2.95
30614,0.4,Very Good,E,SI1,61.3,61.0,737,4.73,4.76,2.91
30615,0.42,Very Good,G,SI1,62.5,56.0,737,4.8,4.83,3.01
30616,0.4,Very Good,H,VS2,59.1,61.0,737,4.81,4.84,2.85
30617,0.4,Good,E,SI1,63.5,56.0,737,4.67,4.72,2.98
30618,0.3,Premium,G,VVS1,61.3,58.0,737,4.29,4.33,2.64
30619,0.3,Very Good,F,VVS2,62.4,58.0,737,4.25,4.28,2.66
30620,0.42,Very Good,G,SI1,62.2,58.0,737,4.73,4.75,2.95
30621,0.4,Premium,F,SI1,62.6,59.0,737,4.68,4.74,2.95
30622,0.3,Ideal,G,VVS1,61.4,56.0,737,4.32,4.34,2.66
30623,0.4,Premium,E,SI1,60.9,60.0,737,4.75,4.77,2.9
30624,0.4,Good,I,VS1,63.8,55.0,737,4.65,4.69,2.98
30625,0.37,Very Good,E,VS1,63.7,56.0,738,4.54,4.6,2.91
30626,0.36,Ideal,E,VS2,60.7,56.0,738,4.63,4.65,2.82
30627,0.33,Ideal,E,VS2,61.3,55.0,738,4.46,4.5,2.75
30628,0.33,Ideal,E,VS2,61.1,55.0,738,4.47,4.51,2.74
30629,0.33,Ideal,E,VS2,60.5,55.0,738,4.52,4.56,2.74
30630,0.33,Ideal,E,VS2,61.5,55.0,738,4.47,4.5,2.76
30631,0.33,Ideal,F,VS1,61.6,55.0,738,4.46,4.47,2.76
30632,0.33,Ideal,F,VS1,61.2,57.0,738,4.46,4.49,2.74
30633,0.33,Ideal,F,VS1,62.1,55.0,738,4.43,4.46,2.76
30634,0.37,Good,F,SI1,63.7,55.0,738,4.59,4.55,2.91
30637,0.41,Good,D,SI1,63.2,57.0,738,4.73,4.77,3.0
30638,0.41,Very Good,D,VS2,62.1,56.0,738,4.76,4.77,2.96
30639,0.41,Good,D,SI1,63.3,55.0,738,4.74,4.77,3.01
30640,0.41,Good,D,SI1,63.8,56.0,738,4.68,4.72,3.0
30641,0.41,Very Good,D,SI1,59.2,62.0,738,4.82,4.85,2.86
30642,0.41,Good,D,SI1,63.2,58.0,738,4.72,4.77,3.0
30643,0.41,Good,D,SI1,63.4,55.0,738,4.68,4.72,2.98
30644,0.33,Very Good,F,VVS2,61.1,56.0,739,4.46,4.48,2.73
30645,0.34,Very Good,F,VS1,61.1,57.0,739,4.51,4.54,2.76
30646,0.32,Ideal,F,VVS2,62.1,54.0,739,4.42,4.44,2.75
30647,0.32,Ideal,E,VS1,62.2,54.0,739,4.39,4.42,2.74
30648,0.33,Ideal,D,VS1,61.7,55.0,739,4.47,4.48,2.76
30649,0.25,Ideal,F,IF,62.3,54.0,739,4.06,4.09,2.54
30650,0.3,Good,E,VVS1,61.2,63.0,739,4.24,4.26,2.6
30651,0.41,Good,G,SI1,64.2,57.0,739,4.67,4.71,3.01
30653,0.31,Premium,H,IF,60.8,59.0,739,4.36,4.39,2.66
30654,0.43,Good,E,SI1,63.1,56.0,739,4.8,4.83,3.04
30655,0.43,Good,E,SI1,63.4,57.0,739,4.81,4.84,3.06
30656,0.43,Premium,E,SI1,61.5,60.0,739,4.78,4.85,2.96
30657,0.43,Good,E,SI1,63.2,57.0,739,4.78,4.84,3.04
30658,0.43,Good,F,SI1,63.6,53.0,739,4.79,4.83,3.06
30659,0.43,Ideal,F,SI1,61.3,56.0,739,4.86,4.9,2.99
30660,0.43,Premium,F,SI1,61.7,58.0,739,4.82,4.84,2.98
30661,0.43,Good,F,SI1,63.8,57.0,739,4.8,4.82,3.07
30662,0.36,Good,D,VS2,63.4,54.0,739,4.51,4.57,2.88
30663,0.34,Very Good,G,VVS2,62.3,59.0,740,4.45,4.48,2.78
30664,0.38,Very Good,E,VS2,61.2,56.0,740,4.67,4.71,2.87
30665,0.34,Ideal,H,VVS1,62.2,54.0,740,4.48,4.53,2.8
30666,0.39,Ideal,H,VS1,61.9,57.0,740,4.71,4.76,2.93
30667,0.47,Ideal,J,SI1,61.9,55.0,740,5.0,5.05,3.11
30668,0.31,Fair,F,VVS1,63.1,61.0,740,4.32,4.37,2.74
30669,0.25,Premium,F,VVS2,62.0,59.0,740,4.04,3.99,2.49
30670,0.25,Premium,F,VVS1,60.7,59.0,740,4.1,4.07,2.48
30671,0.25,Premium,F,IF,61.1,58.0,740,4.1,4.08,2.5
30672,0.25,Ideal,E,VVS2,61.6,57.0,740,4.1,4.08,2.52
30673,0.25,Premium,E,VVS2,62.0,59.0,740,4.08,4.05,2.52
30674,0.25,Ideal,E,VVS2,62.1,57.0,740,4.07,4.04,2.52
30675,0.25,Premium,E,VVS2,61.5,59.0,740,4.04,4.02,2.48
30676,0.25,Premium,E,VVS2,62.5,59.0,740,4.04,4.02,2.52
30677,0.25,Premium,E,VVS2,62.5,59.0,740,4.05,4.02,2.52
30678,0.25,Premium,E,VVS1,60.7,60.0,740,4.11,4.09,2.49
30679,0.25,Very Good,E,VVS2,63.1,56.0,740,4.05,4.0,2.54
30680,0.25,Ideal,E,VVS1,61.2,57.0,740,4.12,4.08,2.51
30681,0.25,Premium,E,VVS1,62.9,58.0,740,4.03,4.01,2.53
30682,0.25,Premium,E,VVS1,62.9,59.0,740,4.02,3.99,2.52
30683,0.33,Premium,F,VS2,60.0,60.0,740,4.49,4.45,2.68
30684,0.36,Very Good,F,VS2,61.3,59.0,741,4.55,4.6,2.79
30685,0.4,Very Good,I,VS1,61.7,57.0,741,4.71,4.73,2.91
30686,0.36,Very Good,G,VS1,61.8,56.0,741,4.57,4.6,2.84
30687,0.33,Very Good,F,VS1,62.7,59.0,741,4.35,4.39,2.74
30688,0.32,Ideal,F,VVS2,62.1,56.0,741,4.4,4.46,2.75
30689,0.38,Ideal,H,VS2,62.2,57.0,741,4.61,4.66,2.89
30690,0.37,Ideal,G,VS1,61.9,54.0,741,4.62,4.68,2.88
30691,0.35,Ideal,G,VS1,61.3,54.0,741,4.58,4.63,2.83
30692,0.4,Ideal,G,SI1,62.3,54.0,741,4.74,4.77,2.96
30693,0.4,Ideal,G,SI1,62.5,54.0,741,4.74,4.77,2.97
30694,0.3,Ideal,D,VVS2,59.5,56.0,741,4.38,4.42,2.62
30695,0.3,Premium,D,VVS2,60.7,59.0,741,4.33,4.34,2.63
30696,0.33,Ideal,E,VVS2,61.0,54.0,741,4.49,4.52,2.75
30697,0.4,Ideal,D,SI1,62.5,55.0,741,4.71,4.73,2.95
30698,0.33,Premium,E,VVS2,61.3,59.0,741,4.44,4.47,2.73
30699,0.39,Very Good,G,VS1,61.7,62.0,741,4.65,4.69,2.88
30700,0.3,Very Good,E,VVS2,62.5,56.0,742,4.28,4.3,2.68
30701,0.36,Very Good,E,VVS2,60.2,59.0,742,4.6,4.64,2.78
30702,0.33,Very Good,D,VS1,61.6,53.0,742,4.45,4.48,2.75
30703,0.3,Very Good,D,VS1,62.2,58.0,742,4.25,4.27,2.65
30704,0.3,Very Good,D,VS1,62.1,58.0,742,4.25,4.29,2.65
30705,0.3,Ideal,E,VVS2,61.2,56.0,742,4.34,4.38,2.67
30706,0.3,Ideal,E,VVS2,62.0,56.0,742,4.3,4.34,2.68
30707,0.3,Ideal,E,VVS2,61.1,56.0,742,4.34,4.37,2.66
30708,0.3,Ideal,E,VVS2,62.1,54.0,742,4.32,4.35,2.69
30709,0.3,Ideal,E,VVS2,60.8,57.0,742,4.33,4.35,2.64
30710,0.3,Ideal,E,VVS2,62.4,54.0,742,4.31,4.34,2.7
30711,0.3,Ideal,E,VVS2,62.3,54.0,742,4.31,4.36,2.7
30712,0.41,Ideal,I,VS2,62.0,57.0,742,4.74,4.77,2.95
30713,0.36,Ideal,E,VS2,61.7,55.0,742,4.57,4.6,2.83
30714,0.3,Ideal,D,VS1,60.8,58.0,742,4.31,4.34,2.63
30715,0.34,Ideal,D,VS1,61.3,56.0,742,4.5,4.54,2.77
30716,0.3,Ideal,D,VS1,62.8,57.0,742,4.27,4.3,2.69
30717,0.3,Ideal,D,VS1,61.2,59.0,742,4.29,4.31,2.63
30718,0.43,Ideal,F,SI2,60.7,57.0,742,4.88,4.91,2.97
30719,0.31,Good,F,VVS1,63.6,61.0,742,4.21,4.25,2.69
30720,0.3,Good,F,IF,60.0,63.0,742,4.3,4.36,2.6
30721,0.4,Good,D,VS1,64.0,55.0,742,4.67,4.7,3.0
30722,0.3,Very Good,E,VVS2,62.4,57.0,743,4.26,4.27,2.66
30723,0.3,Very Good,G,IF,60.5,58.0,743,4.35,4.38,2.64
30724,0.3,Fair,F,VVS2,65.5,61.0,743,4.19,4.15,2.73
30725,0.3,Ideal,E,VVS2,62.0,55.0,743,4.3,4.34,2.68
30726,0.35,Ideal,H,VVS1,62.0,53.9,743,4.5,4.53,2.8
30727,0.31,Ideal,G,VVS1,61.8,55.0,743,4.35,4.39,2.7
30728,0.41,Ideal,H,VS2,61.5,55.0,743,4.78,4.81,2.95
30729,0.38,Ideal,G,VS2,61.6,55.0,743,4.67,4.71,2.89
30730,0.38,Ideal,G,VS2,61.6,57.0,743,4.62,4.66,2.86
30731,0.39,Good,G,VS2,60.3,60.6,743,4.7,4.71,2.84
30732,0.33,Premium,G,VS2,61.4,60.0,743,4.45,4.41,2.72
30733,0.33,Ideal,G,VS2,62.8,54.0,743,4.42,4.4,2.77
30734,0.33,Very Good,E,SI1,63.3,56.0,743,4.43,4.41,2.8
30735,0.33,Ideal,E,SI1,61.9,57.0,743,4.46,4.43,2.75
30736,0.33,Premium,E,SI1,59.1,58.0,743,4.56,4.51,2.68
30737,0.33,Good,E,SI1,63.8,55.0,743,4.38,4.36,2.79
30738,0.33,Very Good,E,SI1,63.4,55.0,743,4.4,4.37,2.78
30739,0.33,Premium,E,SI1,62.7,56.0,743,4.45,4.39,2.77
30740,0.33,Ideal,I,VVS2,62.4,56.0,743,4.43,4.41,2.76
30741,0.33,Premium,I,VVS2,61.0,59.0,743,4.44,4.41,2.7
30742,0.33,Ideal,I,VVS2,62.4,57.0,743,4.44,4.41,2.76
30743,0.33,Premium,I,VVS2,62.1,56.0,743,4.45,4.41,2.75
30744,0.33,Premium,I,VVS2,62.2,59.0,743,4.47,4.41,2.76
30745,0.33,Ideal,I,VVS2,62.7,54.0,743,4.45,4.42,2.78
30746,0.33,Premium,I,VVS2,61.0,58.0,743,4.46,4.42,2.71
30747,0.33,Premium,I,VVS2,61.5,58.0,743,4.45,4.43,2.73
30748,0.33,Premium,I,VVS2,61.4,58.0,743,4.48,4.45,2.74
30749,0.33,Good,I,VVS2,63.7,56.0,743,4.4,4.36,2.79
30750,0.33,Premium,H,VS1,59.7,59.0,743,4.53,4.52,2.7
30751,0.33,Ideal,H,VS1,60.2,57.0,743,4.54,4.5,2.72
30752,0.33,Premium,H,VS1,59.2,58.0,743,4.55,4.5,2.68
30753,0.33,Premium,H,VS1,60.0,61.0,743,4.52,4.48,2.7
30754,0.33,Premium,H,VS1,59.5,59.0,743,4.53,4.48,2.68
30755,0.33,Ideal,H,VS1,61.4,57.0,743,4.49,4.44,2.74
30756,0.33,Ideal,H,VS1,61.7,54.0,743,4.47,4.45,2.75
30757,0.33,Premium,H,VS1,61.0,59.0,743,4.5,4.45,2.73
30758,0.33,Ideal,H,VS1,61.5,56.0,743,4.47,4.44,2.74
30759,0.33,Ideal,H,VS1,61.9,56.0,743,4.48,4.44,2.76
30760,0.33,Ideal,H,VS1,61.8,56.0,743,4.46,4.41,2.74
30761,0.33,Premium,H,VS1,61.9,58.0,743,4.45,4.43,2.75
30762,0.33,Premium,H,VS1,62.1,59.0,743,4.46,4.43,2.76
30763,0.33,Ideal,H,VS1,62.0,55.0,743,4.46,4.44,2.76
30764,0.33,Premium,H,VS1,60.2,62.0,743,4.47,4.44,2.68
30765,0.33,Premium,H,VS1,62.9,59.0,743,4.4,4.35,2.75
30766,0.33,Premium,H,VS1,61.5,58.0,743,4.46,4.39,2.72
30767,0.33,Premium,G,VS2,59.4,61.0,743,4.53,4.49,2.68
30768,0.33,Ideal,G,VS2,61.2,55.0,743,4.49,4.46,2.74
30769,0.33,Premium,G,VS2,60.9,56.0,743,4.5,4.46,2.73
30770,0.33,Ideal,G,VS2,61.2,55.0,743,4.52,4.46,2.75
30771,0.33,Premium,G,VS2,60.0,58.0,743,4.49,4.47,2.69
30772,0.33,Premium,G,VS2,59.3,61.0,743,4.51,4.49,2.67
30773,0.33,Premium,G,VS2,60.6,61.0,743,4.49,4.46,2.71
30774,0.33,Ideal,G,VS2,62.6,57.0,743,4.47,4.45,2.79
30775,0.33,Premium,G,VS2,60.8,58.0,743,4.47,4.45,2.71
30776,0.33,Ideal,G,VS2,62.2,56.0,743,4.47,4.44,2.77
30777,0.33,Ideal,G,VS2,62.0,57.0,743,4.47,4.44,2.76
30778,0.33,Ideal,G,VS2,61.6,55.0,743,4.46,4.43,2.74
30779,0.33,Premium,G,VS2,61.1,59.0,743,4.47,4.43,2.72
30780,0.33,Premium,G,VS2,61.3,59.0,743,4.46,4.44,2.73
30781,0.33,Ideal,G,VS2,62.2,56.0,743,4.44,4.43,2.76
